102|| 2018 | GS-I | 8 | Caste assuming new identities and associational forms | Indian Society | Comment · 10 marks · 150 words | [Indian-Society/advanced/02_Caste-System-Structure-and-Contemporary-Dynamics](Indian-Society/advanced/02_Caste-System-Structure-and-Contemporary-Dynamics.md) | Routed to owning topic |
103|| 2018 | GS-I | 9 | Persistence of poverty despite eradication programmes | Indian Society | Explain by giving reasons · 10 marks · 150 words | [Indian-Society/advanced/09_Poverty-and-Developmental-Issues](Indian-Society/advanced/09_Poverty-and-Developmental-Issues.md) | Routed to owning topic |
104|| 2018 | GS-I | 10 | Indian concept of secularism against the western model | Indian Society | Discuss · 10 marks · 150 words | [Indian-Society/advanced/15_Secularism](Indian-Society/advanced/15_Secularism.md) | Routed to owning topic |
112|| 2018 | GS-I | 18 | Women's movement and women of lower social strata | Indian Society | Substantiate your view · 15 marks · 250 words | [Indian-Society/advanced/07_Women-and-Womens-Organisations](Indian-Society/advanced/07_Women-and-Womens-Organisations.md) | Routed to owning topic |
113|| 2018 | GS-I | 19 | Globalization, cultural homogenization and Indian cultural specificities | Indian Society | Elucidate · 15 marks · 250 words | [Indian-Society/advanced/11_Effects-of-Globalisation-on-Indian-Society](Indian-Society/advanced/11_Effects-of-Globalisation-on-Indian-Society.md) | Routed to owning topic |
114|| 2018 | GS-I | 20 | Communalism from power struggle or relative deprivation | Indian Society | Argue by giving suitable illustrations · 15 marks · 250 words | [Indian-Society/advanced/13_Communalism](Indian-Society/advanced/13_Communalism.md) | Routed to owning topic |
127|| 2019 | GS-I | 8 | What makes Indian society unique in sustaining its culture | Indian Society | Discuss · 10 marks · 150 words | [Indian-Society/advanced/01_Salient-Features-and-Diversity-of-Indian-Society](Indian-Society/advanced/01_Salient-Features-and-Diversity-of-Indian-Society.md) | Routed to owning topic |
128|| 2019 | GS-I | 9 | Empowering women as key to controlling population growth | Indian Society | Discuss · 10 marks · 150 words | [Indian-Society/advanced/06_Population-and-Associated-Issues](Indian-Society/advanced/06_Population-and-Associated-Issues.md) | Routed to owning topic |
129|| 2019 | GS-I | 10 | Cultural practices that challenge secularism | Indian Society | Name and discuss · 10 marks · 150 words | [Indian-Society/advanced/15_Secularism](Indian-Society/advanced/15_Secularism.md) | Routed to owning topic |
138|| 2019 | GS-I | 19 | Continued challenges for women against time and space | Indian Society | What are the challenges · 15 marks · 250 words | [Indian-Society/advanced/07_Women-and-Womens-Organisations](Indian-Society/advanced/07_Women-and-Womens-Organisations.md) | Routed to owning topic |
139|| 2019 | GS-I | 20 | Losing local identity for a global identity | Indian Society | Discuss · 15 marks · 250 words | [Indian-Society/advanced/11_Effects-of-Globalisation-on-Indian-Society](Indian-Society/advanced/11_Effects-of-Globalisation-on-Indian-Society.md) | Routed to owning topic |
